code,name
e1214-il.dat,EPPLER 1214 AIRFOIL
e1230-il.dat,EPPLER 1230 AIRFOIL
e1233-il.dat,EPPLER 1233 AIRFOIL
e168-il.dat,E168  (12.45%)
e169-il.dat,E169  (14.4%)
e171-il.dat,(Dicke 12.28%)
e174-il.dat,E174  (Dicke 8.92%)
e176-il.dat,E176  (8.83%)
e178-il.dat,E178  (8.69%)
e180-il.dat,E180  (8.59%)
e182-il.dat,E182 (8.47%)
e184-il.dat,E184  (8.33%)
e186-il.dat,E186  (10.27%)
e193-il.dat,E193  (10.22%)
e195-il.dat,E195  (11.82%)
e197-il.dat,E197  (13.49%)
e201-il.dat,E201  (11.88%)
e203-il.dat,E203  (13.64%)
e205-il.dat,E205  (10.48%)
e207-il.dat,E207  (12.04%)
e209-il.dat,E209  (13.72%)
e210-il.dat,E210  (13.64%)
e211-il.dat,E211  (10.96%)
e212-il.dat,E212  (10.55%)
e214-il.dat,E214  (11.1%)
e216-il.dat,E216  (10.4%)
e220-il.dat,E220  (11.48%)
e221-il.dat,E221  (9.39%)
e222-il.dat,E222  (10.17%)
e224-il.dat,E224  (10.17%)
e226-il.dat,E226  (10.19%)
e228-il.dat,E10(08%)
e230-il.dat,E230  (9.96%)
e231-il.dat,E231
e266-il.dat,EPPLER 266 AIRFOIL
e297-il.dat,EPPLER 297 AIRFOIL
e325-il.dat,EPPLER 325 AIRFOIL
e326-il.dat,EPPLER 326 AIRFOIL
e327-il.dat,EPPLER 327 AIRFOIL
e328-il.dat,EPPLER 328 AIRFOIL
e329-il.dat,EPPLER 329 AIRFOIL
e330-il.dat,EPPLER 330 AIRFOIL
e331-il.dat,EPPLER 331 AIRFOIL
e332-il.dat,EPPLER 332 AIRFOIL
e333-il.dat,EPPLER 333 AIRFOIL
e334-il.dat,EPPLER 334 AIRFOIL
e335-il.dat,EPPLER 335 AIRFOIL
e336-il.dat,EPPLER 336 AIRFOIL
e337-il.dat,EPPLER 337 AIRFOIL
e338-il.dat,EPPLER 338 AIRFOIL
e339-il.dat,EPPLER 339 AIRFOIL
e340-il.dat,EPPLER 340 AIRFOIL
e341-il.dat,EPPLER 341 AIRFOIL
e342-il.dat,EPPLER 342 AIRFOIL
e343-il.dat,EPPLER 343 AIRFOIL
e344-il.dat,EPPLER 344 AIRFOIL
e360-il.dat,EPPLER 360 AIRFOIL
e361-il.dat,EPPLER 361 AIRFOIL
e374-il.dat,E374
e376-il.dat,EPPLER 376 AIRFOIL
e377-il.dat,EPPLER 377 AIRFOIL
e377m-il.dat,EPPLER 377 (MODIFIED) AIRFOIL
e378-il.dat,EPPLER 378 AIRFOIL
e379-il.dat,EPPLER 379 AIRFOIL
e385-il.dat,E385  (8.41%)
e387-il.dat,E387
e392-il.dat,E392  (10.15%)
e393-il.dat,EPPLER 393 AIRFOIL
e395-il.dat,EPPLER 395 AIRFOIL
e396-il.dat,EPPLER 396 AIRFOIL
e397-il.dat,EPPLER 397 AIRFOIL
e398-il.dat,EPPLER 398 AIRFOIL
e399-il.dat,EPPLER 399 AIRFOIL
e403-il.dat,EPPLER 403 AIRFOIL
e407-il.dat,EPPLER 407 AIRFOIL
e417-il.dat,EPPLER 417 AIRFOIL
e420-il.dat,EPPLER 420 AIRFOIL
e421-il.dat,EPPLER 421 AIRFOIL
e422-il.dat,EPPLER 422 AIRFOIL
e423-il.dat,E423
e426-il.dat,EPPLER 426 AIRFOIL
e428-il.dat,EPPLER 428 AIRFOIL
e431-il.dat,EPPLER 431 AIRFOIL
e432-il.dat,EPPLER 432 AIRFOIL
e433-il.dat,EPPLER 433 AIRFOIL
e434-il.dat,EPPLER 434 AIRFOIL
